Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi,Tokenization,Stopwords,Stemming
2024-02-15T01:53:38Z,@msyafei9217,Ua21uPr1eRc,Kalau ternyata rakyat masih ingin dipimpin jokowi +02 apa boleh buat untuk yg ber harap perubahan bersabarlah tetap ihtiar secara benar  untuk indonesia pasti secara nurani sehat yg terjadi hari ini tdk masuk akal.kita tetap harus berdamai dg keadaan yg jorok,2024-02-15T01:53:38Z,kalau ternyata rakyat masih ingin dipimpin jokowi apa boleh buat untuk yg ber harap perubahan bersabarlah tetap ihtiar secara benar untuk indonesia pasti secara nurani sehat yg terjadi hari ini tdk masuk akal kita tetap harus berdamai dg keadaan yg jorok,kalau ternyata rakyat masih ingin dipimpin jokowi apa boleh buat untuk yang ber harap perubahan bersabarlah tetap ihtiar secara benar untuk indonesia pasti secara nurani sehat yang terjadi hari ini tidak masuk akal kita tetap harus berdamai dengan keadaan yang jorok,"['kalau', 'ternyata', 'rakyat', 'masih', 'ingin', 'dipimpin', 'jokowi', 'apa', 'boleh', 'buat', 'untuk', 'yang', 'ber', 'harap', 'perubahan', 'bersabarlah', 'tetap', 'ihtiar', 'secara', 'benar', 'untuk', 'indonesia', 'pasti', 'secara', 'nurani', 'sehat', 'yang', 'terjadi', 'hari', 'ini', 'tidak', 'masuk', 'akal', 'kita', 'tetap', 'harus', 'berdamai', 'dengan', 'keadaan', 'yang', 'jorok']","['rakyat', 'dipimpin', 'jokowi', 'ber', 'harap', 'perubahan', 'bersabarlah', 'ihtiar', 'indonesia', 'nurani', 'sehat', 'masuk', 'akal', 'berdamai', 'jorok']",rakyat pimpin jokowi ber harap ubah sabar ihtiar indonesia nurani sehat masuk akal damai jorok
2024-02-15T01:53:35Z,@rakasaputra7657,Ua21uPr1eRc,Leganya rasanya pk probowo bisa memimpin🫡✌️🥰🥰🥰,2024-02-15T01:53:51Z,leganya rasanya pk probowo bisa memimpin,leganya rasanya pakai probowo bisa memimpin,"['leganya', 'rasanya', 'pakai', 'probowo', 'bisa', 'memimpin']","['leganya', 'pakai', 'probowo', 'memimpin']",lega pakai probowo pimpin
2024-02-15T01:53:13Z,@user-mr6qf1ut5e,Ua21uPr1eRc,megachan panik,2024-02-15T01:53:13Z,megachan panik,megachan panik,"['megachan', 'panik']","['megachan', 'panik']",megachan panik
2024-02-15T01:53:05Z,@kamarudin3779,Ua21uPr1eRc,missnya 25% ya 😏,2024-02-15T01:53:05Z,missnya ya,missnya ya,"['missnya', 'ya']",['missnya'],miss
2024-02-15T01:52:54Z,@nazaruddinmuhammadiqbal7497,Ua21uPr1eRc,LAST BUT NOT LEAST PROBLEM YG PALING KEKINIAN ALIAS FUN-DA-&quot;MENTAL&quot; ADALAH GEJALA INGATAN KALAU MAU DIKRITIK MENDADAK SAKIT ATAU APALAH BUNGLON (BACA: BURON).. <br>INGAT QUOTES YG BERBUNYI &quot;JGN PERNAH BERTANYA APA YG NEGARA BISA BERIKAN BUAT LO BOWO!!&quot; TP &quot;APA RESPONSIBLE YG BISA LO SOEMBANG BOEAT BANGSA DAN NEGARA??!!&quot; FAHIMTA???!!<br>IT&#39;S A BIT WEIRD DGN BIMBINGAN DR TERAJANA DISAMPING.... TTP SI BADUT SELALU JOGED2 RIANG GEMBIRA TANPA PROBLEM... WHAT A SOCIAL PHENOM-PENH???!! 😂😂<br>SAVE REMPANG SEGERA!!<br>TAKBIR!! !!الله اكبر,2024-02-15T01:54:12Z,last but not least problem yg paling kekinian alias fundamental adalah gejala ingatan kalau mau dikritik mendadak sakit atau apalah bunglon baca buron ingat quotes yg berbunyi jgn pernah bertanya apa yg negara bisa berikan buat lo bowo tp apa responsible yg bisa lo soembang boeat bangsa dan negara fahimtaits a bit weird dgn bimbingan dr terajana disamping ttp si badut selalu joged2 riang gembira tanpa problem what a social phenompenh save rempang segeratakbir,last but not least problem yang paling kekinian alias fundamental adalah gejala ingatan kalau mau dikritik mendadak sakit atau apalah bunglon baca buron ingat quotes yang berbunyi jangan pernah bertanya apa yang negara bisa berikan buat lo bowo tapi apa responsible yang bisa lo soembang boeat bangsa dan negara fahimtaits a bit weird dengan bimbingan dari terajana disamping tetap sih badut selalu joged2 riang gembira tanpa problem what a social phenompenh save rempang segeratakbir,"['last', 'but', 'not', 'least', 'problem', 'yang', 'paling', 'kekinian', 'alias', 'fundamental', 'adalah', 'gejala', 'ingatan', 'kalau', 'mau', 'dikritik', 'mendadak', 'sakit', 'atau', 'apalah', 'bunglon', 'baca', 'buron', 'ingat', 'quotes', 'yang', 'berbunyi', 'jangan', 'pernah', 'bertanya', 'apa', 'yang', 'negara', 'bisa', 'berikan', 'buat', 'lo', 'bowo', 'tapi', 'apa', 'responsible', 'yang', 'bisa', 'lo', 'soembang', 'boeat', 'bangsa', 'dan', 'negara', 'fahimtaits', 'a', 'bit', 'weird', 'dengan', 'bimbingan', 'dari', 'terajana', 'disamping', 'tetap', 'sih', 'badut', 'selalu', 'joged2', 'riang', 'gembira', 'tanpa', 'problem', 'what', 'a', 'social', 'phenompenh', 'save', 'rempang', 'segeratakbir']","['last', 'but', 'not', 'least', 'problem', 'kekinian', 'alias', 'fundamental', 'gejala', 'ingatan', 'dikritik', 'mendadak', 'sakit', 'apalah', 'bunglon', 'baca', 'buron', 'quotes', 'berbunyi', 'negara', 'lo', 'bowo', 'responsible', 'lo', 'soembang', 'boeat', 'bangsa', 'negara', 'fahimtaits', 'a', 'bit', 'weird', 'bimbingan', 'terajana', 'disamping', 'sih', 'badut', 'joged2', 'riang', 'gembira', 'problem', 'what', 'a', 'social', 'phenompenh', 'save', 'rempang', 'segeratakbir']",last but not least problem kini alias fundamental gejala ingat kritik dadak sakit apa bunglon baca buron quotes bunyi negara lo bowo responsible lo soembang boeat bangsa negara fahimtaits a bit weird bimbing terajana samping sih badut joged2 riang gembira problem what a social phenompenh save rempang segeratakbir
2024-02-15T01:52:54Z,@jamilm2021,Ua21uPr1eRc,Kita harus legowo dan harus menerima kekalahan.,2024-02-15T01:52:54Z,kita harus legowo dan harus menerima kekalahan,kita harus legowo dan harus menerima kekalahan,"['kita', 'harus', 'legowo', 'dan', 'harus', 'menerima', 'kekalahan']","['legowo', 'menerima', 'kekalahan']",legowo terima kalah
2024-02-15T01:52:49Z,@user-lf9ic7lv6l,Ua21uPr1eRc,Lembaga surpey tk percaya..,2024-02-15T01:52:49Z,lembaga surpey tk percaya,lembaga surpey tak percaya,"['lembaga', 'surpey', 'tak', 'percaya']","['lembaga', 'surpey', 'percaya']",lembaga surpey percaya
2024-02-15T01:52:48Z,@Ganyolchanel,Ua21uPr1eRc,Uhuy,2024-02-15T01:52:48Z,uhuy,uhuy,['uhuy'],['uhuy'],uhuy
2024-02-15T01:52:11Z,@user-lf9ic7lv6l,Ua21uPr1eRc,Knpa cepat sangat quick count nya..semntara di lpangan blum slsai,2024-02-15T01:52:11Z,knpa cepat sangat quick count nya semntara di lpangan blum slsai,kenapa cepat sangat quick count ya semntara di lpangan belum slsai,"['kenapa', 'cepat', 'sangat', 'quick', 'count', 'ya', 'semntara', 'di', 'lpangan', 'belum', 'slsai']","['cepat', 'quick', 'count', 'semntara', 'lpangan', 'slsai']",cepat quick count semntara lpangan slsai
2024-02-15T01:51:54Z,@maxtampi3062,Ua21uPr1eRc,"Ganjar Mahmud paling ga etika,menyerang pribadi Prabowo,banyak mulut tim sukses.Ganjar Mahmud,paling curang diMalaysia surat suara diisi sendiri malu ga pahit,muka mau taru dimana malu ga tau dirimu 😮😮😮😮😅😮😮😮",2024-02-15T01:51:54Z,ganjar mahmud paling ga etikamenyerang pribadi prabowobanyak mulut tim sukses ganjar mahmudpaling curang dimalaysia surat suara diisi sendiri malu ga pahitmuka mau taru dimana malu ga tau dirimu,ganjar mahmud paling tidak etikamenyerang pribadi prabowobanyak mulut tim sukses ganjar mahmudpaling curang dimalaysia surat suara diisi sendiri malu tidak pahitmuka mau taru dimana malu tidak tau dirimu,"['ganjar', 'mahmud', 'paling', 'tidak', 'etikamenyerang', 'pribadi', 'prabowobanyak', 'mulut', 'tim', 'sukses', 'ganjar', 'mahmudpaling', 'curang', 'dimalaysia', 'surat', 'suara', 'diisi', 'sendiri', 'malu', 'tidak', 'pahitmuka', 'mau', 'taru', 'dimana', 'malu', 'tidak', 'tau', 'dirimu']","['ganjar', 'mahmud', 'etikamenyerang', 'pribadi', 'prabowobanyak', 'mulut', 'tim', 'sukses', 'ganjar', 'mahmudpaling', 'curang', 'dimalaysia', 'surat', 'suara', 'diisi', 'malu', 'pahitmuka', 'taru', 'dimana', 'malu', 'tau', 'dirimu']",ganjar mahmud etikamenyerang pribadi prabowobanyak mulut tim sukses ganjar mahmudpaling curang dimalaysia surat suara isi malu pahitmuka taru mana malu tau diri
