Username,Comment,Cleaning
@csmchannel,Curang ny dimana saya rakyat jawa antusias pilih 100% bpk prabowo gibran. Mau apa kalian apakalian tidak terima kekalahan. Kubu 01 dan kubu 03 jika ada pemilihan lagi pasti lebih tinggi dari angka yg di dapat 02  karna rakyat sudah pintar untk. memilih ingat itu.!!!,curang ny dimana saya rakyat jawa antusias pilih bpk prabowo gibran mau apa kalian apakalian tidak terima kekalahan kubu dan kubu jika ada pemilihan lagi pasti lebih tinggi dari angka yg di dapat karna rakyat sudah pintar untk memilih ingat itu
@user-re7ox9rj3t,Klu ada kecurangan kenapa harus nunggu selesai tinggal tidak terima hasil pemilu biar di afakan pemilu ulang beres biar gak lama lama,klu ada kecurangan kenapa harus nunggu selesai tinggal tidak terima hasil pemilu biar di afakan pemilu ulang beres biar gak lama lama
@supriyantobinramelan4109,"Siapapun presidennya bisa buat makmur negri ini. Terutama  BBM murah  Sembako murah ,,,terus jgn menangani covid seperti yg sudah  membuat rakyat hancur sampai sekarang ,,,",siapapun presidennya bisa buat makmur negri ini terutama bbm murah sembako murah terus jgn menangani covid seperti yg sudah membuat rakyat hancur sampai sekarang
@iosghiims5861,"mafhum kita ketahui, seseorang selalu akan berbicara sesuai kepentingannya,itu normal.pemilihan kata dan intonasi digunakan untuk mempengaruhi pikiran orang meskipun orang yg JD target kebanyakan juga SDH paham tujuann si pembicara,,,itu normal kita ketahui bersama.,JD seru aja jika melihat ekspresi seseorang berbicara membuat alasan dgn intonasinya.😁",mafhum kita ketahui seseorang selalu akan berbicara sesuai kepentingannyaitu normal pemilihan kata dan intonasi digunakan untuk mempengaruhi pikiran orang meskipun orang yg jd target kebanyakan juga sdh paham tujuann si pembicaraitu normal kita ketahui bersama jd seru aja jika melihat ekspresi seseorang berbicara membuat alasan dgn intonasinya
@AliMasud-ng3tv,Klo gk siap kalah jangan nyapres laaah (01),klo gk siap kalah jangan nyapres laaah
@user-tx2yy4so8b,Orang yg tidak mau menerima kekalahan maka orang trsbt todak cocok d jadikan pemimpin baik pemimpin negara juga Agama titik,orang yg tidak mau menerima kekalahan maka orang trsbt todak cocok d jadikan pemimpin baik pemimpin negara juga agama titik
@fithriya_tsabita1,Kondisi saat ini dalam perekonomian Indonesia memberikan sinyal positif pada inflasi (5)😢,kondisi saat ini dalam perekonomian indonesia memberikan sinyal positif pada inflasi
@PujiPku-wo2eo,Periksa ketua kpu yg mempermsin kn suara rakyat,periksa ketua kpu yg mempermsin kn suara rakyat
@ahongkoza3356,Saya rakyat Indonesia dari Indramayu dengan hati yang ikhlas memilih no 2,saya rakyat indonesia dari indramayu dengan hati yang ikhlas memilih no
@hermawan776,Lanjut kan program ikn demi kemajuan indonesia di mata dunia,lanjut kan program ikn demi kemajuan indonesia di mata dunia
@user-sc3rg9lp5h,Ah ! Kalaopun g pemilu Bansos itu memang ada kan ?.,ah kalaopun g pemilu bansos itu memang ada kan
@nursyam3196,Emang klau kita berkompetisi harus ad yg menang ad g kalah tp yg kalah selalu g terima itulah manusia tdk ad kepuasan,emang klau kita berkompetisi harus ad yg menang ad g kalah tp yg kalah selalu g terima itulah manusia tdk ad kepuasan
@HasanNusi-qn5ci,Prabowo Gibran,prabowo gibran
@user-yb9dx4ki6q,Sekarang rakyat indonesia sudah cerdas kebanyakan memilih peresiden bpk prabowo termasuk saya yg memilih 02 astung kare orang bali bilang atau bersukur  pak prabowo menag mutlak salam sehat sy orang bali yg merantau kelampung,sekarang rakyat indonesia sudah cerdas kebanyakan memilih peresiden bpk prabowo termasuk saya yg memilih astung kare orang bali bilang atau bersukur pak prabowo menag mutlak salam sehat sy orang bali yg merantau kelampung
@awiaulia8722,Pospol nmr 2 yg unggul ya nmx ju perlombaan pasti ada yg kalah dan ada menang.,pospol nmr yg unggul ya nmx ju perlombaan pasti ada yg kalah dan ada menang
@bambangsuswanto,"Bedah partai, bedah presiden,jangan dipaksakan.",bedah partai bedah presidenjangan dipaksakan
@bambangsuswanto,"Sulawesi,prabowo,gibran.menang .",sulawesiprabowogibran menang
@bambangsuswanto,"Tapi ini bedah jauh bos,terimah saja.",tapi ini bedah jauh bosterimah saja
@bambangsuswanto,"Bedah,jauh bos,terimah kekalahannya.",bedahjauh bosterimah kekalahannya
@LastryFal,Alhamdullilah prabowo jadi prediden,alhamdullilah prabowo jadi prediden
@bambangsuswanto,Sudah mubasir bos,sudah mubasir bos
@EmiEmi-tp2eg,sblm rakyat brtndk harus ada putaran kedua,sblm rakyat brtndk harus ada putaran kedua
@EmiEmi-tp2eg,pemilu terburuk yg pernah ada,pemilu terburuk yg pernah ada
@AZISNaba.,AZIS  NAba,azis naba
@FerdiandisemaSema,"Semoga pilihan calon presiden ,berjalan lancar dan juga aman terkendali n kondusif.fas@",semoga pilihan calon presiden berjalan lancar dan juga aman terkendali n kondusif fas
@Taaaa-ojousama,Kalau kalah ya yang jelek2keluar.....padahal yang jelek 2 ni semua udah tau tapi apa yang udah di berikan buat negara ...ngomong pinter .!kalau dah dikasih jabatan ya begitu itulah ...,kalau kalah ya yang jelek2keluar padahal yang jelek ni semua udah tau tapi apa yang udah di berikan buat negara ngomong pinter kalau dah dikasih jabatan ya begitu itulah
@rosyidady5102,Ngikut aja lah..,ngikut aja lah
@user-zh4wf4iq8o,Itu si Surya orang gila&#39; nganggap reme sama orang lain blm tentu dia mampuh..,itu si surya orang gila nganggap reme sama orang lain blm tentu dia mampuh
@user-kn9pc9cm3v,Udh Kalah Kalah aja 01 03 trima kenyataan GA usah CA ci cu,udh kalah kalah aja trima kenyataan ga usah ca ci cu
@zullpikar-mt9yt,50.83,
@zullpikar-mt9yt,Julie. Yes. Hang. Curing. At. Tina&#39;s. Kds,julie yes hang curing at tinas kds
@zullpikar-mt9yt,57.76p,76p
@zullpikar-mt9yt,59.49,
@zullpikar-mt9yt,Hangar. Curing. P. Hiring. Sure AZ,hangar curing p hiring sure az
@zullpikar-mt9yt,57.72,
@zullpikar-mt9yt,57.,
@BudiSantoso-ow4vx,Anakan banteng itu tahu apa  sih.. ayo sini datang kesini debat sama aku ajalh .<br>Aku tau betul proses di tps..kamu nol besar ..mulutmu aja kang  kanggg,anakan banteng itu tahu apa sih ayo sini datang kesini debat sama aku ajalh aku tau betul proses di tps kamu nol besar mulutmu aja kang kanggg
@andrayyradhika448,Rakyat udah jenuh melihat radikalisme kita orang timur punya adab sopan santunyg bikin gaduh di negri ini hanyalah orang keturunan yg slalu bawa2 keturunan nabi nabi sopan dan sabar yidak rafikal kanya yg ngaku2 cucu2nya,rakyat udah jenuh melihat radikalisme kita orang timur punya adab sopan santunyg bikin gaduh di negri ini hanyalah orang keturunan yg slalu bawa2 keturunan nabi nabi sopan dan sabar yidak rafikal kanya yg ngaku2 cucu2nya
@andrayyradhika448,Disinilah 01 td demokrasi kekeh mau duaputaran apakah beliau punya uang untuk membiayainya walau 100 putaran orang radikal td akan menang yg jelas pemborosan anggaran apakah td sebaiknya uangny,disinilah td demokrasi kekeh mau duaputaran apakah beliau punya uang untuk membiayainya walau putaran orang radikal td akan menang yg jelas pemborosan anggaran apakah td sebaiknya uangny
@Ki-hitam-ki-gede-alang-alang,Hiduuuuup prabowo ❤,hiduuuuup prabowo
@Ki-hitam-ki-gede-alang-alang,Hiduuup prabowo.,hiduuup prabowo
@andangSuryadi-zk4fe,"Saya hanya aneh dan ga masuk akal ...padahal 1dan 2 ...di debat capres ,ga ada gagasan ..KLO di bandingkan cafres no3",saya hanya aneh dan ga masuk akal padahal 1dan di debat capres ga ada gagasan klo di bandingkan cafres no3
@romiwijaya1938,"Apa lagi yang dikawal dan dijaga klo kalah ya kalah saja, justru pasukan nomor 02 yang harus menjaga kecurangan jangan sampai 01 dan 03 berbuat curang",apa lagi yang dikawal dan dijaga klo kalah ya kalah saja justru pasukan nomor yang harus menjaga kecurangan jangan sampai dan berbuat curang
@romiwijaya1938,Walaupun suara 01 digabung dengan 03 tidak akan bisa mengejar suara 02.cukup 1putaran pemimpin sabar menangbtelak,walaupun suara digabung dengan tidak akan bisa mengejar suara cukup 1putaran pemimpin sabar menangbtelak
@romiwijaya1938,Pemimpin yang sabar dihujat danbdiremehkan didebat presiden didoakan oleh selurh masarakat indonesia untuk menjadi presiden 2024,pemimpin yang sabar dihujat danbdiremehkan didebat presiden didoakan oleh selurh masarakat indonesia untuk menjadi presiden
@user-pu5hk8su6q,satu putaran aja cukup 02 pasti menang,satu putaran aja cukup pasti menang
@edwinpurnama4740,Pada umumnya pemilih prabowo adalah pemilih/pendukung fanatik sejak pemilu 2014-2019 sekarang 2024 di tambah pendukung jokowi jelas menang telak,pada umumnya pemilih prabowo adalah pemilihpendukung fanatik sejak pemilu sekarang di tambah pendukung jokowi jelas menang telak
@asepsudrajat6362,Bukti prabowo menang kelak 58%,bukti prabowo menang kelak
@novafarne7252,"Yg menang merayakan, yg kalah menjelaskan",yg menang merayakan yg kalah menjelaskan
@watynorhayaty2670,Ttp amin ☝️🤲🏻❤,ttp amin
@Marthen-yh2su,"KALAU ADA SURAT SUARA YG SUDAH TERCOBLOS APAKAH ITU DIHITUNG OLEH KPPS, TENTUKAN TIDAK DIHITUNG, SEDANGKAN TERCOBLOS LEBIH DARI SATU CALEG KAN DIBATALKAN.",kalau ada surat suara yg sudah tercoblos apakah itu dihitung oleh kpps tentukan tidak dihitung sedangkan tercoblos lebih dari satu caleg kan dibatalkan
@sahroni7961,Mna suara Ny 01 03  sy MH 02,mna suara ny sy mh
@user-ey4ok3ev1r,"Ini orang anak PKI tidak mau mengala PKI gaya baru,pikiran nya mau bikin gadu dan mau bikin ribut",ini orang anak pki tidak mau mengala pki gaya barupikiran nya mau bikin gadu dan mau bikin ribut
@jokoumboro2438,Kalau memang kalah ya di akui saja kurang legowo kalau memangkalat gak usah bertele tele ini semua pilihan rakyat,kalau memang kalah ya di akui saja kurang legowo kalau memangkalat gak usah bertele tele ini semua pilihan rakyat
@jokoumboro2438,Nomer satu bagai mana ni gak ada perbincangan apa apa,nomer satu bagai mana ni gak ada perbincangan apa apa
@bapaktbhanafih2896,Konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax,konten sampah hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax hoax
@PinaSih-hh4lm,Maaf saya rakyat kecil nrarik Mentri jangan dari musuh  jaga nama baik  Prabowo gibran,maaf saya rakyat kecil nrarik mentri jangan dari musuh jaga nama baik prabowo gibran
@Yaasiin.aburaas,HARGEYSA,hargeysa
@Yaasiin.aburaas,Ok,ok
@EdiYahoo-qq5hm,"Ngak ada mendisik ii kerso, Prabowo memang menang tlak, dia memang berpihak ke masyarakat",ngak ada mendisik ii kerso prabowo memang menang tlak dia memang berpihak ke masyarakat
@EdiYahoo-qq5hm,"Semoga lapang dada, karna kemenangan pak Prabowo, itu kehendak masyarakat, yg memilih rakyat Indonesia,",semoga lapang dada karna kemenangan pak prabowo itu kehendak masyarakat yg memilih rakyat indonesia
@user-yd8sk4iy3u,Aku tiap pilihan presiden gak pernah milih lain milik Prabowo,aku tiap pilihan presiden gak pernah milih lain milik prabowo
@user-hq1sx3yh8u,Semoga pa Prabowo selalu sehat sepanjang menjadi pemimpin.Prabowo menang Rakyat senang.😂🙏,semoga pa prabowo selalu sehat sepanjang menjadi pemimpin prabowo menang rakyat senang
@rumiatitukiyo7935,"Sudah saya ramalkan dengan hasil survey2  berdasarkan hasil di jatim 70% an dan jateng 50%an...Prabowo Gibran dari hasil survey disimpulkan 2 propinsi sebagai kunci keberhasilan 50%+70% = 120% : 2 = 60% an untuk pasangan PRABOWO GIBRAN.,🙏💪🏽👍",sudah saya ramalkan dengan hasil survey2 berdasarkan hasil di jatim an dan jateng an prabowo gibran dari hasil survey disimpulkan propinsi sebagai kunci keberhasilan an untuk pasangan prabowo gibran
@ibunda085,Allah ngak rindho kalau orang jujur di dholimmi,allah ngak rindho kalau orang jujur di dholimmi
@ErdanSuanto,Smoga pak prabowo gibran menang ✌✌✌,smoga pak prabowo gibran menang
@ErdanSuanto,✌,
@user-pq2tr8zz3y,Terima kekalaha. Dengan baik,terima kekalaha dengan baik
@Sam-db1fe,Sebagi WNI yg punya jiwa demokrasi harusxx legowo bila kalah atw menang....gak usahlah banyak kalimat kalimat pincang...org bodohpun bisa tau bhw ambisi  dn ego bisa nampak melalui ucapan ucapan ..😂😂,sebagi wni yg punya jiwa demokrasi harusxx legowo bila kalah atw menang gak usahlah banyak kalimat kalimat pincang org bodohpun bisa tau bhw ambisi dn ego bisa nampak melalui ucapan ucapan
@SugimantoAjah,Karena Rakyat dah tau bapak iku calon cari yg tegas dah kaya semua Rakyat gitu gak ada koropsi lur,karena rakyat dah tau bapak iku calon cari yg tegas dah kaya semua rakyat gitu gak ada koropsi lur
@user-yf2es4bp7p,"Siapapun yg jdi prisiden bagi sya gak masalah,,,yg penting amanah lahirbatin nya",siapapun yg jdi prisiden bagi sya gak masalahyg penting amanah lahirbatin nya
@ijaljal2530,Klo ad orng curang  biar di azap sama allah.. Macharakat amin aj..,klo ad orng curang biar di azap sama allah macharakat amin aj
