Username,Comment,Cleaning
@muhsininmuhsinin9638,Kalau sudah ada lambang kalah fitnah mulaih tumpah,kalau sudah ada lambang kalah fitnah mulaih tumpah
@sholehudin5320,اللهم صل على سيدنا محمد و اشغل الظالمين بالظالمين واخرجنا من بينهم سالمين وعلى آله وصحبه أجمعين آمين يارب العالمين,
@muhammadrusli8148,Sedikitpun gak bisa di percaya nih Lembaga survei jancook..,sedikitpun gak bisa di percaya nih lembaga survei jancook
@cecepherisman5476,timsesnya prabowo saat ini lebih santai lebih santun dan ini adalah cara terbaik untuk mengambil hati rakyat,timsesnya prabowo saat ini lebih santai lebih santun dan ini adalah cara terbaik untuk mengambil hati rakyat
@user-wk8vk6kv1t,Jangan bangga dulu .hitungan cepat  bohong tidak akurat dari daerah kami belum dikumpul kan surat suara .,jangan bangga dulu hitungan cepat bohong tidak akurat dari daerah kami belum dikumpul kan surat suara
@Bayernoficial,"Juju kami d plosok NTT sklaipun tahu siapa yg kita pilih,,jujur untuk 02-03 persaingan ketat sklali tapi anak muda tidak lari ke 02",juju kami d plosok ntt sklaipun tahu siapa yg kita pilihjujur untuk persaingan ketat sklali tapi anak muda tidak lari ke
@HelmusPki,2🎉,
@esdeganmantap1esdeganmanta677,Untuk cak lontong tidak ada maaf karena hina warga jawatimur,untuk cak lontong tidak ada maaf karena hina warga jawatimur
@miyantotuban3339,Tetap 02 <br>01 dan 03 lewat,tetap dan lewat
@letakku3352,"Langsung di 50% pengiringan opini dan langsung di siapin tempat,...gak akan berhasil rakyat sdh cerdas",langsung di pengiringan opini dan langsung di siapin tempat gak akan berhasil rakyat sdh cerdas
@Bayernoficial,Jagan ngeles trus bos...menang ya menang,jagan ngeles trus bos menang ya menang
@liatilia6198,Salam✌️✌️✌️ pak porobowo❤❤❤,salam pak porobowo
@sharianto2414,Kami rakyat kecil memang menunggu pemimpin yg sosok seperti pak Prabowo  bukan janji janji yg gak masuk akal kayak janji 01 dan 03,kami rakyat kecil memang menunggu pemimpin yg sosok seperti pak prabowo bukan janji janji yg gak masuk akal kayak janji dan
@tinyt5008,01 ANIES Amin presiden RI,anies amin presiden ri
@Shofialrd,Alhamdulillah..pilihanku 02 semoga amanah dlm memimpin negri ini,alhamdulillah pilihanku semoga amanah dlm memimpin negri ini
@mahmudah3817,Aku  harap selidiki bener bener biar tidak ada kecurangan,aku harap selidiki bener bener biar tidak ada kecurangan
@miyantotuban3339,Wes molai kemana&quot; itu kalao kalah ya tetap kalah,wes molai kemana itu kalao kalah ya tetap kalah
@muhammadeggiaphriliyadi2716,Aaaa kasiaan aaa kake ZEUS kalah masyarakat indonesia akhirnya bisa nyembelih banteng moncong putih belagu 😂😂😂,aaaa kasiaan aaa kake zeus kalah masyarakat indonesia akhirnya bisa nyembelih banteng moncong putih belagu
@ytuzumaki2370,"Jubir 01 sama 03 kaya ga terima🤣 jubir 03 bilang banyak kecurangan misal ada surat suara yg sudah tercoblos (itu lho yg tercoblos paslon 03,jadi ya ente yang curang) jubir 01 bilang paslon 02 ga jelas kedepannya bagaimana.. itu visi misi 02 sudah jelas lho paaaak 🤣🤣🤣 kalo kalah emang susah buat iklas ya bapak bapak",jubir sama kaya ga terima jubir bilang banyak kecurangan misal ada surat suara yg sudah tercoblos itu lho yg tercoblos paslon jadi ya ente yang curang jubir bilang paslon ga jelas kedepannya bagaimana itu visi misi sudah jelas lho paaaak kalo kalah emang susah buat iklas ya bapak bapak
@najaverina1040,"Salam dari kami dipusar Baturaja barat OKU Sumsel, ini dukung kami untuk pak Prabowo Subianto menuju kemenangan Indonesian maju 2024, selamat untuk pak Prabowo Subianto &amp; Gibran terpilih capres &amp; cawapres 2024.&quot;",salam dari kami dipusar baturaja barat oku sumsel ini dukung kami untuk pak prabowo subianto menuju kemenangan indonesian maju selamat untuk pak prabowo subianto gibran terpilih capres cawapres
@user-cy2mm5kb4v,Omong apa ...slalu mencari kslahan ...kalah y kalah itu suara rakyat gaew,omong apa slalu mencari kslahan kalah y kalah itu suara rakyat gaew
@widiherisusanto8468,Sebenarnya quick count itu penggiringan opini untuk menutupi kecurangan dan bisa jadi kpu tinggal menyesuaikan dan mengesahkan kecurangan seperti pengalaman di 2019,sebenarnya quick count itu penggiringan opini untuk menutupi kecurangan dan bisa jadi kpu tinggal menyesuaikan dan mengesahkan kecurangan seperti pengalaman di
@wisnuexsjkt666,"Lagu lama ,Kalo uda kalah ya kalah",lagu lama kalo uda kalah ya kalah
@AlanAgustian-yd2zl,✌️✌️✌️,
@alfi5845,Swing Vote terjadi...<br>Diantara karna sikap capres 01 dan 03 ke capres 02 yg tidak disukai masyarakat. Tuduhan tuduhan berbentuk ucapan capres 01 dan 03 yg terjawab dengan gamblang oleh tokoh tokoh besar dalam perkara tersebut membuat masyarakat berfikir dan membandingkan. 01 dan 03 over confident dengan vibes dukungan berdasarkan angka elektabilitas.,swing vote terjadi diantara karna sikap capres dan ke capres yg tidak disukai masyarakat tuduhan tuduhan berbentuk ucapan capres dan yg terjawab dengan gamblang oleh tokoh tokoh besar dalam perkara tersebut membuat masyarakat berfikir dan membandingkan dan over confident dengan vibes dukungan berdasarkan angka elektabilitas
@user-ql7gp2sg8s,"Iyaa. Alhamdulilah hirobilalamin akhirnya pak prabowo gibran menang  ,,selamat .....semoga amanah amiin...<br>.",iyaa alhamdulilah hirobilalamin akhirnya pak prabowo gibran menang selamat semoga amanah amiin
@cecepherisman5476,kini bung fadli  terlihat lebih arif  bahkan terlihat jarang sekali berkomentar,kini bung fadli terlihat lebih arif bahkan terlihat jarang sekali berkomentar
@darsonodarsono3967,"Itu bukan curang tapi, masuk jurang 😊😊😊.",itu bukan curang tapi masuk jurang
@suprayitnoyet8781,"Banteng jadi bakso  ,setruk gaklo",banteng jadi bakso setruk gaklo
@sugiantoborek5831,Pak Prabowo di bohongi sm time seksesnya kuikon hasil surpai. Menang Aneis hasil KPU. Prabowo masih di bawah nya Aneis,pak prabowo di bohongi sm time seksesnya kuikon hasil surpai menang aneis hasil kpu prabowo masih di bawah nya aneis
@yudistira7247,Yg ngomong... mimpi basah...,yg ngomong mimpi basah
@user-iu8pp6tx1g,Masinton Adian Sitorus ke mana nich ga ada nongol.pdi,masinton adian sitorus ke mana nich ga ada nongol pdi
@abdulrokhim4194,01 &amp; 03 _ maaf yeeee<br>01 &amp; 03 _ maaf yeeee<br>01 &amp; 03 _ maaf yeeee,maaf yeeee01 maaf yeeee01 maaf yeeee
@juliaparamitha-zi7tu,Akhirnya 02 unggul juga... ✌✌✌✌... ❤❤❤,akhirnya unggul juga
@user-lo3mn6yu3b,Pedukung jokowi masih tetap setia bos,pedukung jokowi masih tetap setia bos
@atharraffasya6196,"01 asik mencari kesalahan 02.. <a href=""https://www.youtube.com/watch?v=Ua21uPr1eRc&amp;t=848"">14:08</a>",asik mencari kesalahan
@furqanhamid2969,Pak Prabowo dn Mas Gibran akan menang <br>Doa kami buat Bapak dn Mas Gibran untuk maju kn Indonesia dn memegang amanah dn menerus kn kerj Pak Jokowi <br>Aamiin Allahummah Aamiin 🤲 No 2 The Best 💪,pak prabowo dn mas gibran akan menang doa kami buat bapak dn mas gibran untuk maju kn indonesia dn memegang amanah dn menerus kn kerj pak jokowi aamiin allahummah aamiin no the best
@user-ro1be6bc3r,Pdi dan gajar mapot keok2....kandang banteng terwujut jdi kandang ayam ya keokk....keok...,pdi dan gajar mapot keok2 kandang banteng terwujut jdi kandang ayam ya keokk keok
@cecepherisman5476,rakyat sudah bosen dg plitikus yg hanya pandai mengolah kata 2 bahkan rakyat terkesan sangat muak  dg gaya fadli zone yg selalu terkesan radikal dan arogan dalam mempertahankan argumennya,rakyat sudah bosen dg plitikus yg hanya pandai mengolah kata bahkan rakyat terkesan sangat muak dg gaya fadli zone yg selalu terkesan radikal dan arogan dalam mempertahankan argumennya
@user-ys4tx7dy7w,Anissssss,anissssss
@takimb9581,Pendukung yohanes anis selalu bilang kecurangan hoi rakyat cerdas hoi,pendukung yohanes anis selalu bilang kecurangan hoi rakyat cerdas hoi
@suprayitnoyet8781,"Nenek tua ,atas kesombongan mu ,sekarang ,banteng jadi baso",nenek tua atas kesombongan mu sekarang banteng jadi baso
@yuliussinaga3861,Anis pulang kampung ke Yaman jadi gembala onta,anis pulang kampung ke yaman jadi gembala onta
@suryantomakalalag3705,"BUNG H. UMAM, FENOMENA ANGKA2 INI TERJADI KARENA BANYAKNYA PENYEBARAN HOAX &amp; FITNAH TERHADAP PASLON 02 DI MASA TENANG, IAKAN ? 😂😂<br>&quot;SALAH SENDIRI&quot; 😮😮",bung h umam fenomena angka2 ini terjadi karena banyaknya penyebaran hoax fitnah terhadap paslon di masa tenang iakan salah sendiri
@AriHen,Kenapa setiap pemenang pemilu di anggap curang.jadilah berjiwa besar. Demi NKRI jgn jadi pengadu domba.Kita Indonesia bukan Belanda,kenapa setiap pemenang pemilu di anggap curang jadilah berjiwa besar demi nkri jgn jadi pengadu domba kita indonesia bukan belanda
@user-sl2hb3hk9n,Sudah jelas 02 emang benar .. coba dilihat pak dari debat Paslon samean selalu merendahkan Paslon 02 menilai dari angka ini itu ..,sudah jelas emang benar coba dilihat pak dari debat paslon samean selalu merendahkan paslon menilai dari angka ini itu
@untungsubektisubekti2192,"Selamat buat si gemoy,semoga sukses bersama aamiin,",selamat buat si gemoysemoga sukses bersama aamiin
@AiDoang,Bagi pendukung no 2 kalau lapar demo keistana  kan kamu juga jng dukung  ok,bagi pendukung no kalau lapar demo keistana kan kamu juga jng dukung ok
@user-qe8pm2nn8u,Belum percaya tunggu realcount,belum percaya tunggu realcount
@PutuEkaariawan-,Prabowo gibran stu putrann..,prabowo gibran stu putrann
@muflykamal3079,"Alhamdulillah, selamat pak rakyat telah memilih Bpk sebagai presiden nya, dan selamat bekerja untuk bangsa dan rakyat Indonesia..",alhamdulillah selamat pak rakyat telah memilih bpk sebagai presiden nya dan selamat bekerja untuk bangsa dan rakyat indonesia
@user-yd2jt2zm1x,Tim Anis kalah sepertinya GK terima itu,tim anis kalah sepertinya gk terima itu
@user-zo2de3jc2t,Kemarin2 yang saya lihat cuman CNN dan TVRI ..Terimakasih CNN sudah berusaha untuk Netral.Saya kesini cuma mau bilang ANIS KEOKKKKKKKK hahahahhaaa tidur nyenyak Gustiiiiii takendolkendol,kemarin2 yang saya lihat cuman cnn dan tvri terimakasih cnn sudah berusaha untuk netral saya kesini cuma mau bilang anis keokkkkkkkk hahahahhaaa tidur nyenyak gustiiiiii takendolkendol
@PeroSumberkima-vt9bk,ibarat main bola GC perna terima kekalahan.pasti menyalakan wasit curang.berpihak.krn inilah manusia.tpi klau akal sehat lebih baik mengala Krn menerima kekalahan dn damai.teriyak maling entar yg terik yg melakukan.teria kentut baunya menyebar eeehhh taunya dia yg kentut.,ibarat main bola gc perna terima kekalahan pasti menyalakan wasit curang berpihak krn inilah manusia tpi klau akal sehat lebih baik mengala krn menerima kekalahan dn damai teriyak maling entar yg terik yg melakukan teria kentut baunya menyebar eeehhh taunya dia yg kentut
@omazis5800,Anis terlalu banyak omong dari pada kerja.,anis terlalu banyak omong dari pada kerja
@azhariari5047,LEGOWO,legowo
@InfinixSmart-hb6uh,Prabowo menang,prabowo menang
@daffahafiz9870,Ga satria ga ngaku kalah,ga satria ga ngaku kalah
@AiDoang,Gimana no 2 tdk. Menang sdh dicolos smua gede bohong ulang lagi aja ok,gimana no tdk menang sdh dicolos smua gede bohong ulang lagi aja ok
@mijan1296,"Masya Allah?, kalau sudah pemilu dan rakyat sudah menentukan yg terbaik, jangan bikin rakyat berfikir ngga baik,<br>Berfikir positif itu lebih baik, dan di ridhoi Allah SWT, ❤",masya allah kalau sudah pemilu dan rakyat sudah menentukan yg terbaik jangan bikin rakyat berfikir ngga baikberfikir positif itu lebih baik dan di ridhoi allah swt
@arullahsyafiqmuttaqien5452,"CNN mengakui 02 menang, eee di tiktok Pendukung AMIN masih aja bilang curang",cnn mengakui menang eee di tiktok pendukung amin masih aja bilang curang
@user-sl2hb3hk9n,Semua itu suara rakyat kok bisa ngomong ada kecurangan pak  Surya ini,semua itu suara rakyat kok bisa ngomong ada kecurangan pak surya ini
@iswahyudifals1972,Allah itu baik dan 02 lha orangnya tidak pernah menjelekan kubuh sebelah. bravo 02,allah itu baik dan lha orangnya tidak pernah menjelekan kubuh sebelah bravo
@agusmarwanto9066,"Selamat Pak Prabowo dan mas Gibran. Semoga amanah memimpin bangsa Indonesia, Tuhan memberkati, Amin",selamat pak prabowo dan mas gibran semoga amanah memimpin bangsa indonesia tuhan memberkati amin
@anitarossadi,"Alhamdulilah pak p@rabowo gibr@n,satu putar@n, banteng sudah nyungsep,",alhamdulilah pak p gibrsatu putar banteng sudah nyungsep
@DhitaAzkyr-pm6fo,prbowo klo kalah patut di pertanyakan,prbowo klo kalah patut di pertanyakan
@nenenghamidah6824,Ratusan ribu pembantu dan tukang sayur tidak bisa jadi pemilih di tempat majikannya..<br>Ini kurangnya info dari semua pihak..RW RT KPU..<br>Dan tidak ada kebijakan bisa memilih di alamat si majikannya...di tolaaaak !!<br><br>Itu nya banyak pembantu tidak bisa ikut pemilihan umum<br>5 th sekali,ratusan ribu pembantu dan tukang sayur tidak bisa jadi pemilih di tempat majikannya ini kurangnya info dari semua pihak rw rt kpu dan tidak ada kebijakan bisa memilih di alamat si majikannya di tolaaaak itu nya banyak pembantu tidak bisa ikut pemilihan umum5 th sekali
@user-hr8ss6vt2c,Kami ucapkan selamat pd paslon yg di beri  amanah dr rakyat indonesia  !,kami ucapkan selamat pd paslon yg di beri amanah dr rakyat indonesia
@gensa1464,alhamdulillah ya allah 🎉🎉✌✌✌,alhamdulillah ya allah
@MhdFcrzl,"Media harus nyatakan quick count belum syah, krn bisa membentuk framming ke masyarakat dan bisa terjadi gesekkan bila tdk sama hasilnya, krn hasil yg sah adalah real count KPU, dan media TV tahan diri mengupas hasil quick count yg hanya prediksi.",media harus nyatakan quick count belum syah krn bisa membentuk framming ke masyarakat dan bisa terjadi gesekkan bila tdk sama hasilnya krn hasil yg sah adalah real count kpu dan media tv tahan diri mengupas hasil quick count yg hanya prediksi
@suarjanasuarjana3386,ALHAMDULILAH BSPAK PRABOWO GIBRAN PRESIDEN DAN WAKIL PREDIDEN N K R I THN 2024 S.D 2029 MERDEKA...❤❤❤,alhamdulilah bspak prabowo gibran presiden dan wakil prediden n k r i thn s d merdeka
@iswahyudifals1972,02 Tuhan itu baik,tuhan itu baik
@nabellacans3003,P😅ak.pdip.memang.tidak.puas.biar.kan.aja.,pak pdip memang tidak puas biar kan aja
@slametwidodo-tm9ep,Alhamdulillah orang yg sering menggunjing . Suka menghina suka mencaci Allah memberikan kekalahan total,alhamdulillah orang yg sering menggunjing suka menghina suka mencaci allah memberikan kekalahan total
@user-ru9ip6mz2y,"01 03 legowo ajah kalah menang biasa bos ,ga usah byk curang lah itu lah ,alasan ap lgi ,iklasinn ajah dri pada setres",legowo ajah kalah menang biasa bos ga usah byk curang lah itu lah alasan ap lgi iklasinn ajah dri pada setres
@iswahyudifals1972,Surabaya jatim 02 menang telak,surabaya jatim menang telak
@annisafiqiyami7906,"knpa sih ini 01 kayak malah menggiring Opini negative, pdhal 02 udh blg tdk mau mendahului KPU, gak terima bgt kayaknya 01 sma hasil QC ,, gak usah di ajak deh 01 di kabinet, banyak penyusup",knpa sih ini kayak malah menggiring opini negative pdhal udh blg tdk mau mendahului kpu gak terima bgt kayaknya sma hasil qc gak usah di ajak deh di kabinet banyak penyusup
@genjiberogenjibero9476,"Siapa yg menang jadi pemimpin negara Indonesia, yg maju,aman damai, sejahterah, bagi negara kita ,Karna kita sangat,mencintai negara kita, Indonesia trimakash, Tuhan memberkati ,merdeka, 🇮🇩🇮🇩🇮🇩👍❤️🙏🙏",siapa yg menang jadi pemimpin negara indonesia yg majuaman damai sejahterah bagi negara kita karna kita sangatmencintai negara kita indonesia trimakash tuhan memberkati merdeka
@teddyhartono2289,hitung cepat orang dia semua ya makin enak la KPu melurus kan nya🙈,hitung cepat orang dia semua ya makin enak la kpu melurus kan nya
@HaslamSuwondo-yw9xh,"Lagi2 suara rakyat d ragukan sadarlah, 01, 03",lagi2 suara rakyat d ragukan sadarlah
@slametwidodo-tm9ep,Alhamdulillah walaupun sering dihina dicaci digunjing dikatain Samsul dikasih nilai yg TDK sewajarnya. Tapi Alhamdulillah menang juga,alhamdulillah walaupun sering dihina dicaci digunjing dikatain samsul dikasih nilai yg tdk sewajarnya tapi alhamdulillah menang juga
@dudungnuryana9945,Insya Allah Demokrasi terjaga g usah suuzon pa lapang dada aja ...,insya allah demokrasi terjaga g usah suuzon pa lapang dada aja
@tejosutejo7905,Kalau cuma bicara semua orang bisa. Tapi ini nyata adanya. Salam 02 damai Indonesia ku,kalau cuma bicara semua orang bisa tapi ini nyata adanya salam damai indonesia ku
@hendriagustianhendriagusti8332,Prabowo Subianto Presiden Republik Indonesia 2024 - 2029 ..👍👍,prabowo subianto presiden republik indonesia
@LIPAY_BA,Quick count<br>Angka karangan<br>Dari mana sumber lembaga surfey<br>Sedangkan laporan asli penghitungan suara di tps baru siap jam 3 dini hari/malam oleh anggota tps,quick countangka karangandari mana sumber lembaga surfeysedangkan laporan asli penghitungan suara di tps baru siap jam dini harimalam oleh anggota tps
@adidianiasih5739,Prabowo dan Gibran ❤presiden   2024🎉,prabowo dan gibran presiden
@whisper6952,Pemilu sudah berakhir....sambil menunggu hasildari KPU.   .....kembali kuta bersaudara.....NKRI HARGA MATI!,pemilu sudah berakhir sambil menunggu hasildari kpu kembali kuta bersaudara nkri harga mati
@tampua,Walau prabowo benci orang papua kami rakyat papua memilih dengan hati yg tulus.. salam ✌️✌️✌️ klo tiga jari yg ada jd boneka ibu megawati,walau prabowo benci orang papua kami rakyat papua memilih dengan hati yg tulus salam klo tiga jari yg ada jd boneka ibu megawati
@nabellacans3003,Mas.tidak.ada.kecurangan.mas.kosong.dua.bagus.dari.rakyat.,mas tidak ada kecurangan mas kosong dua bagus dari rakyat
@agustinuskastanya1514,"Komentar ini omong kosong saja , mancari2 kesalahan yg tdk masuk akal. Akal2an saja cari masalah percumalah,",komentar ini omong kosong saja mancari2 kesalahan yg tdk masuk akal akal2an saja cari masalah percumalah
@anggiginanjar5561,ngurus jakarta g can baleg waka&quot; hayang jadi presiden..😢 😅 nisnis,ngurus jakarta g can baleg waka hayang jadi presiden nisnis
@martindacostamartin7230,"Knapa sich...kubu nomor 01 ma 03,kok ngak bisa menarima knyataannya🤣",knapa sich kubu nomor ma kok ngak bisa menarima knyataannya
@Averrose28,Pendukung 01-03 jangan sakit menerima kenyataan yaa 😅,pendukung jangan sakit menerima kenyataan yaa
@amerindo8521,Kasih tau lah angka mu … jangan taunya nyinyir,kasih tau lah angka mu jangan taunya nyinyir
@ChristinaSunur-nj7tb,"Kemenangan pemilu kali ini adlh kemenangan rakyat,bkn kemenangan politisi semata",kemenangan pemilu kali ini adlh kemenangan rakyatbkn kemenangan politisi semata
@blackedan7374,Yg kalaah siapain kamar takutnya stres duitnya abis😅,yg kalaah siapain kamar takutnya stres duitnya abis
@zeva.a,02 GA MENANG PERLU DIPERTANYAKAN!!!!,ga menang perlu dipertanyakan
@alecapapilaya425,Itulah Hasil yang di berikan Rakyat Indonesia kepada Paslon 1 &amp; 3.Pembalasan lebih kejam dari Perbuatan Bro.Sebagaimana Kedua Paslon tersebut memberikan Nilai ke Paslon No 2 yang sangat mengecewakan Rakyat Indonesia.jadi belajar lah Menerima Kenyataan.bukan Alasan dan berbagai macam Cara dilakukan lagi Untuk melawan.Tapi belajar lah Menerima Apa Adanya.,itulah hasil yang di berikan rakyat indonesia kepada paslon pembalasan lebih kejam dari perbuatan bro sebagaimana kedua paslon tersebut memberikan nilai ke paslon no yang sangat mengecewakan rakyat indonesia jadi belajar lah menerima kenyataan bukan alasan dan berbagai macam cara dilakukan lagi untuk melawan tapi belajar lah menerima apa adanya
@nabellacans3003,0.2.dua.selamatuntuk.k0.2.dua.selamat,dua selamatuntuk k0 dua selamat
@lidiasuharlini7282,Berkas kasus korupsi di KPK sdh siap dan rompi Oren sdh menunggu... Siapakah gerangan...?,berkas kasus korupsi di kpk sdh siap dan rompi oren sdh menunggu siapakah gerangan
@AzeinZen-fz2fi,Inilah saatnya waktunya sudah sampai bahwa yg selama ini negara nkri mengalami kemiskinan .sekarang sudah diturunkan pemimpin yg tangguh bijak sana yg akan mengangkat harkat martabat nkri dari keterpurukan kemiskinan menjadikan nkri negara terkaya di dunia.kaya segala galanya.oke mantap amin y,inilah saatnya waktunya sudah sampai bahwa yg selama ini negara nkri mengalami kemiskinan sekarang sudah diturunkan pemimpin yg tangguh bijak sana yg akan mengangkat harkat martabat nkri dari keterpurukan kemiskinan menjadikan nkri negara terkaya di dunia kaya segala galanya oke mantap amin y
@user-hn2vs9sl7b,Kami pendukung prabowo.yang omong curang siap yahhhh jangan bawah bawah omong soal curang terus kami rakyat menjadi Hakim yahhhh✌️✌️✌️✌️✌️✌️✌️✌️✌️,kami pendukung prabowo yang omong curang siap yahhhh jangan bawah bawah omong soal curang terus kami rakyat menjadi hakim yahhhh
@alfaismom1974,wkwkwkwkkwkwkkw survei hoax,wkwkwkwkkwkwkkw survei hoax
@mahmudah3817,Dan atas ridonya Alloh  SWT amin,dan atas ridonya alloh swt amin
@user-gb1zf3wt6r,"Kalah ya kalah aja,q juga kemarin nyoblos no 1,legowo aja🤝🤝🤝",kalah ya kalah ajaq juga kemarin nyoblos no legowo aja
@imambuckhori1342,"Belum saatnya, artinya belum resmi",belum saatnya artinya belum resmi
@AsidAmir,02 pragib insa allah menang sesuai harapan dari awal karna itu pilihanku  dan dihati ❤,pragib insa allah menang sesuai harapan dari awal karna itu pilihanku dan dihati
@selametsamsul-db1ko,Jagalah mulut atau lisan kamu ini murni dari hati Rakyat,jagalah mulut atau lisan kamu ini murni dari hati rakyat
@mawar6746,Iya para dukun dikerahkan untuk lengserkan jokowi,iya para dukun dikerahkan untuk lengserkan jokowi
@mikoriri2443,Ayo rukun lagi damai lagi buat Indonesia maju,ayo rukun lagi damai lagi buat indonesia maju
@dikaajh8555,✌🇲🇨,
@melkiwayega4180,"Sudah pak<br>Kala,kalah sajalah jgn banyak omong",sudah pakkalakalah sajalah jgn banyak omong
@Warrior74747,SI MULUT KURANG AJAR KALAH... YESSS.... HIDUP PRABOWO,si mulut kurang ajar kalah yesss hidup prabowo
@kholeahmad6491,Abu janda tetap berjaya👍👍👍👍👍👍,abu janda tetap berjaya
@evasisca4809,Gk percaya dgn hasil ini...😅😅,gk percaya dgn hasil ini
@sembarangchanel4758,"Legowo itu lebih baik, wong ndeso banyak yg all in prabowo termasuk saya dan kawan&quot; ..",legowo itu lebih baik wong ndeso banyak yg all in prabowo termasuk saya dan kawan
@mahmudah3817,Siapapun yg menang itu adalah pilihan rakyat .dan Alloh SWT yg .menghendaki nya.,siapapun yg menang itu adalah pilihan rakyat dan alloh swt yg menghendaki nya
@nazaruddinmuhammadiqbal7497,"TOLONG YA DENGAN HORMAT!!... PDI-P JEGAL LANGKAH PRABOWO MENUJU RI 1, SEBAGAIMANA GOLKAR SELALU MENJEGAL LANGKAH MEGAWATI DAN PARTAINYA DLM SUKSES MENUJU RI 1 ERA ORBA!! JGN MALU, PENGKHIANAT LAYAK DIKHIANATI KAN TO.... YA TO???!!<br>ALASAN BOWO LAYAK DIKHIANATI A.L:<br>MASA LALU YG SADIS BELUM ADA TINDAKAN LANJUT TERKAIT ISU HAM!!<br>PENGKHIANAT VERSI HARTO BIN KIRIEK (BACA DEH: HARTO SUKA BINGIK KAN TO.. RI)<br>SDH DAPAT DIPASTIKAN DLM KURUN WAKTU 5 THN YG DILAKUKAN HANYA SIBUK MEMPERKAYA DIRI DGN HASIL BUMI YG MELIMPAH DENGAN BERBAGAI MACAM PENINDASAN KPD RAKYAT SAMBIL JOGET2 SINTING BETULAN SEMENTARA KABINETNYA + ABK + CARTOON NETWORKING PONTANG PANTING MEMIKIRKAN PLAT FORM HIDUP MASING2 INDIVIDU... TERSERAH???!!<br>SAVE REMPANG FOREVER!!<br>SAVE NKRI NOW!!<br>TAKBIR!! الله اكبر",tolong ya dengan hormat pdip jegal langkah prabowo menuju ri sebagaimana golkar selalu menjegal langkah megawati dan partainya dlm sukses menuju ri era orba jgn malu pengkhianat layak dikhianati kan to ya toalasan bowo layak dikhianati a lmasa lalu yg sadis belum ada tindakan lanjut terkait isu hampengkhianat versi harto bin kiriek baca deh harto suka bingik kan to risdh dapat dipastikan dlm kurun waktu thn yg dilakukan hanya sibuk memperkaya diri dgn hasil bumi yg melimpah dengan berbagai macam penindasan kpd rakyat sambil joget2 sinting betulan sementara kabinetnya abk cartoon networking pontang panting memikirkan plat form hidup masing2 individu terserahsave rempang foreversave nkri nowtakbir
@ragamwarna1703,Yg banyak curang di byk wilayah malah 03😅,yg banyak curang di byk wilayah malah
@mahmudah3817,Siapapun yg menang itu adalah pilihan rakyat .dan Alloh SWT yg .menghendaki nya.,siapapun yg menang itu adalah pilihan rakyat dan alloh swt yg menghendaki nya
@marempisan7229,ini timses nya 03 kok masih ngeyel ya..mbok legowo lho??,ini timses nya kok masih ngeyel ya mbok legowo lho
@miniwarnetchannel,"Pembagian bansos emang dari dulu,bukan cuma sekarang mendekatinya pemilu,itu ya kewajiban,karena pemerintah sayang sama rakyatnya",pembagian bansos emang dari dulubukan cuma sekarang mendekatinya pemiluitu ya kewajibankarena pemerintah sayang sama rakyatnya
@Shafirawelding,Alhamdulilah d kampung saya juga 02 lebih unggul🎉❤,alhamdulilah d kampung saya juga lebih unggul
@yayahrohaya3916,"terima kasih Rakyat Indonesia sdh ikut memilih haknya,terma kasih semoga ini presiden kita lbh maju kedepan apa yg rakyat inginkan,selamat berjuang dan selamat pak prabowo untk menduduki bangku presiden,rakyatmu menunggumu❤❤❤",terima kasih rakyat indonesia sdh ikut memilih haknyaterma kasih semoga ini presiden kita lbh maju kedepan apa yg rakyat inginkanselamat berjuang dan selamat pak prabowo untk menduduki bangku presidenrakyatmu menunggumu
@dhalaillail5759,"bukan perpecahan, perbedaan pilihan,",bukan perpecahan perbedaan pilihan
@PutraJawa-nb5eg,😂😂 percaya diri boleh tapi jangan sampai memecah belah.. Kalau kalah terima aja dengan ikhlas.,percaya diri boleh tapi jangan sampai memecah belah kalau kalah terima aja dengan ikhlas
@ongyennio1701,Pikiran yg ada kok hy kecurangan,pikiran yg ada kok hy kecurangan
@yawaekunk6n565,"Rakyat uni sudah muak dhn aktor2 antagonis ygsll di sufuhkan sinetron2 di tv Nadional kita, sehingga, kalian  lupa, dr awal kampanye, kalian mwmilih peran antagonis itu sampai di akhir cerita.  slm",rakyat uni sudah muak dhn aktor2 antagonis ygsll di sufuhkan sinetron2 di tv nadional kita sehingga kalian lupa dr awal kampanye kalian mwmilih peran antagonis itu sampai di akhir cerita slm
@yantowihanto8085,"Siapapun yg menang itu Presiden kita, kita akui pak Probowo Gibran lah yg menang.",siapapun yg menang itu presiden kita kita akui pak probowo gibran lah yg menang
@stabilosyaif3801,yg kalah kurang legowo.. banyak alasan dan fitnah...,yg kalah kurang legowo banyak alasan dan fitnah
@selametsamsul-db1ko,Dan tidak ada kecurangan asli murni dari hati Rakyat bro ja gan mau hidup sendiri,dan tidak ada kecurangan asli murni dari hati rakyat bro ja gan mau hidup sendiri
